Time nR nF
9.47 188.919 2.00233
9.48 189.662 1.99841
9.49 190.408 1.99455
9.5 191.157 1.99074
9.51 191.909 1.98699
9.52 192.664 1.98331
9.53 193.422 1.97968
9.54 194.183 1.9761
9.55 194.947 1.97259
9.56 195.714 1.96914
9.57 196.484 1.96574
9.58 197.257 1.9624
9.59 198.033 1.95912
9.6 198.812 1.9559
9.61 199.595 1.95273
9.62 200.38 1.94962
9.63 201.169 1.94657
9.64 201.961 1.94358
9.65 202.755 1.94064
9.66 203.554 1.93776
9.67 204.355 1.93494
9.68 205.159 1.93218
9.69 205.967 1.92947
9.7 206.777 1.92682
9.71 207.591 1.92422
9.72 208.409 1.92169
9.73 209.229 1.91921
9.74 210.053 1.91679
9.75 210.88 1.91442
9.76 211.71 1.91211
9.77 212.544 1.90986
9.78 213.381 1.90766
9.79 214.221 1.90552
9.8 215.064 1.90344
9.81 215.911 1.90142
9.82 216.761 1.89945
9.83 217.615 1.89754
9.84 218.472 1.89568
9.85 219.332 1.89388
9.86 220.196 1.89214
9.87 221.063 1.89046
9.88 221.934 1.88883
9.89 222.808 1.88726
9.9 223.685 1.88575
9.91 224.566 1.88429
9.92 225.451 1.88289
9.93 226.339 1.88155
9.94 227.23 1.88027
9.95 228.125 1.87904
9.96 229.024 1.87787
9.97 229.926 1.87676
9.98 230.832 1.8757
9.99 231.741 1.8747
10 232.654 1.87376
10.01 233.57 1.87288
10.02 234.49 1.87206
10.03 235.414 1.87129
10.04 236.341 1.87058
10.05 237.273 1.86993
10.06 238.207 1.86934
10.07 239.146 1.86881
10.08 240.088 1.86834
10.09 241.034 1.86792
10.1 241.983 1.86756
10.11 242.937 1.86727
10.12 243.894 1.86703
10.13 244.854 1.86685
10.14 245.819 1.86673
10.15 246.788 1.86667
10.16 247.76 1.86668
10.17 248.736 1.86674
10.18 249.716 1.86686
10.19 250.7 1.86704
10.2 251.688 1.86728
10.21 252.679 1.86759
10.22 253.675 1.86795
10.23 254.674 1.86838
10.24 255.678 1.86887
10.25 256.685 1.86942
10.26 257.696 1.87004
10.27 258.712 1.87071
10.28 259.731 1.87145
10.29 260.754 1.87225
10.3 261.782 1.87312
10.31 262.813 1.87404
10.32 263.848 1.87504
10.33 264.888 1.87609
10.34 265.932 1.87721
10.35 266.979 1.8784
10.36 268.031 1.87965
10.37 269.087 1.88097
10.38 270.147 1.88235
10.39 271.212 1.8838
10.4 272.28 1.88532
10.41 273.353 1.8869
10.42 274.43 1.88855
10.43 275.511 1.89027
10.44 276.596 1.89205
10.45 277.686 1.8939
10.46 278.78 1.89583
10.47 279.878 1.89782
10.48 280.981 1.89988
10.49 282.088 1.90201
10.5 283.199 1.90422
10.51 284.314 1.90649
10.52 285.434 1.90883
