Time nR nF
7.49 69.5382 3.44585
7.5 69.783 3.4245
7.51 70.0286 3.40332
7.52 70.2751 3.38231
7.53 70.5224 3.36146
7.54 70.7706 3.34077
7.55 71.0196 3.32024
7.56 71.2694 3.29987
7.57 71.5201 3.27965
7.58 71.7717 3.2596
7.59 72.0241 3.2397
7.6 72.2773 3.21995
7.61 72.5315 3.20035
7.62 72.7864 3.18091
7.63 73.0422 3.16162
7.64 73.2989 3.14248
7.65 73.5565 3.12348
7.66 73.8149 3.10463
7.67 74.0742 3.08593
7.68 74.3343 3.06737
7.69 74.5954 3.04896
7.7 74.8573 3.03069
7.71 75.12 3.01256
7.72 75.3837 2.99456
7.73 75.6482 2.97671
7.74 75.9136 2.959
7.75 76.1799 2.94142
7.76 76.4471 2.92398
7.77 76.7152 2.90667
7.78 76.9841 2.8895
7.79 77.254 2.87246
7.8 77.5247 2.85554
7.81 77.7964 2.83877
7.82 78.0689 2.82211
7.83 78.3424 2.80559
7.84 78.6167 2.7892
7.85 78.8919 2.77293
7.86 79.1681 2.75679
7.87 79.4452 2.74077
7.88 79.7231 2.72487
7.89 80.002 2.7091
7.9 80.2818 2.69344
7.91 80.5625 2.67791
7.92 80.8441 2.6625
7.93 81.1267 2.64721
7.94 81.4102 2.63203
7.95 81.6946 2.61697
7.96 81.9799 2.60203
7.97 82.2661 2.5872
7.98 82.5533 2.57249
7.99 82.8414 2.55789
8 83.1305 2.5434
8.01 83.4204 2.52902
8.02 83.7113 2.51475
8.03 84.0032 2.50059
8.04 84.296 2.48655
8.05 84.5897 2.4726
8.06 84.8844 2.45877
8.07 85.1801 2.44504
8.08 85.4767 2.43142
8.09 85.7742 2.4179
8.1 86.0727 2.40449
8.11 86.3721 2.39118
8.12 86.6725 2.37797
8.13 86.9739 2.36486
8.14 87.2762 2.35186
8.15 87.5795 2.33895
8.16 87.8838 2.32614
8.17 88.189 2.31343
8.18 88.4952 2.30082
8.19 88.8024 2.28831
8.2 89.1105 2.27589
8.21 89.4196 2.26357
8.22 89.7297 2.25134
8.23 90.0408 2.2392
8.24 90.3528 2.22716
8.25 90.6659 2.21521
8.26 90.9799 2.20336
8.27 91.2949 2.19159
8.28 91.6109 2.17991
8.29 91.9279 2.16833
8.3 92.2459 2.15683
8.31 92.5648 2.14542
8.32 92.8848 2.1341
8.33 93.2058 2.12286
8.34 93.5278 2.11172
8.35 93.8507 2.10065
8.36 94.1747 2.08968
8.37 94.4997 2.07878
8.38 94.8257 2.06797
8.39 95.1527 2.05725
8.4 95.4807 2.0466
8.41 95.8098 2.03604
8.42 96.1398 2.02556
8.43 96.4709 2.01516
8.44 96.8029 2.00484
8.45 97.1361 1.9946
8.46 97.4702 1.98444
8.47 97.8053 1.97435
8.48 98.1415 1.96435
8.49 98.4787 1.95442
8.5 98.817 1.94456
8.51 99.1562 1.93479
8.52 99.4966 1.92508
8.53 99.8379 1.91546
8.54 100.18 1.9059
8.55 100.524 1.89643
8.56 100.868 1.88702
8.57 101.214 1.87769
8.58 101.56 1.86843
8.59 101.908 1.85924
8.6 102.256 1.85012
8.61 102.606 1.84107
8.62 102.957 1.83209
8.63 103.309 1.82318
8.64 103.662 1.81434
8.65 104.016 1.80557
8.66 104.371 1.79686
8.67 104.727 1.78823
8.68 105.084 1.77966
8.69 105.442 1.77115
8.7 105.801 1.76272
8.71 106.161 1.75435
8.72 106.523 1.74604
8.73 106.885 1.7378
8.74 107.249 1.72962
8.75 107.613 1.7215
8.76 107.979 1.71345
8.77 108.346 1.70546
8.78 108.714 1.69753
8.79 109.083 1.68967
8.8 109.453 1.68187
8.81 109.824 1.67412
8.82 110.196 1.66644
8.83 110.569 1.65882
8.84 110.943 1.65125
8.85 111.319 1.64375
8.86 111.695 1.6363
8.87 112.073 1.62892
8.88 112.452 1.62159
8.89 112.832 1.61432
8.9 113.213 1.6071
8.91 113.595 1.59994
8.92 113.978 1.59284
8.93 114.362 1.5858
8.94 114.747 1.57881
8.95 115.134 1.57187
8.96 115.521 1.56499
8.97 115.91 1.55817
8.98 116.3 1.55139
8.99 116.691 1.54467
9 117.083 1.53801
9.01 117.476 1.5314
9.02 117.87 1.52484
9.03 118.266 1.51833
9.04 118.662 1.51187
9.05 119.06 1.50547
9.06 119.459 1.49911
9.07 119.858 1.49281
9.08 120.259 1.48655
9.09 120.662 1.48035
9.1 121.065 1.4742
9.11 121.469 1.46809
9.12 121.875 1.46204
9.13 122.281 1.45603
9.14 122.689 1.45007
9.15 123.098 1.44416
9.16 123.508 1.4383
9.17 123.92 1.43249
9.18 124.332 1.42672
9.19 124.745 1.42099
9.2 125.16 1.41532
9.21 125.576 1.40969
9.22 125.993 1.40411
9.23 126.411 1.39857
9.24 126.83 1.39308
9.25 127.251 1.38763
9.26 127.672 1.38222
9.27 128.095 1.37687
9.28 128.519 1.37155
9.29 128.944 1.36628
9.3 129.37 1.36105
9.31 129.797 1.35587
9.32 130.226 1.35072
9.33 130.655 1.34563
9.34 131.086 1.34057
9.35 131.518 1.33555
9.36 131.951 1.33058
9.37 132.386 1.32565
9.38 132.821 1.32076
9.39 133.258 1.31591
9.4 133.696 1.3111
9.41 134.135 1.30633
9.42 134.575 1.3016
9.43 135.016 1.29692
9.44 135.458 1.29227
9.45 135.902 1.28766
9.46 136.347 1.28309
9.47 136.793 1.27856
9.48 137.24 1.27407
9.49 137.689 1.26961
9.5 138.138 1.2652
9.51 138.589 1.26082
9.52 139.041 1.25648
9.53 139.494 1.25218
9.54 139.948 1.24792
9.55 140.404 1.24369
9.56 140.86 1.2395
9.57 141.318 1.23535
9.58 141.777 1.23123
9.59 142.237 1.22715
9.6 142.699 1.22311
9.61 143.161 1.2191
9.62 143.625 1.21512
9.63 144.09 1.21119
9.64 144.556 1.20728
9.65 145.024 1.20342
9.66 145.492 1.19958
9.67 145.962 1.19579
9.68 146.433 1.19202
9.69 146.905 1.18829
9.7 147.378 1.1846
9.71 147.853 1.18094
9.72 148.329 1.17731
9.73 148.806 1.17372
9.74 149.284 1.17016
9.75 149.763 1.16663
9.76 150.244 1.16313
9.77 150.725 1.15967
9.78 151.208 1.15624
9.79 151.692 1.15285
9.8 152.178 1.14948
9.81 152.664 1.14615
9.82 153.152 1.14285
9.83 153.641 1.13958
9.84 154.131 1.13634
9.85 154.622 1.13314
9.86 155.115 1.12996
9.87 155.609 1.12682
9.88 156.104 1.12371
9.89 156.6 1.12063
9.9 157.097 1.11758
9.91 157.596 1.11456
9.92 158.095 1.11157
9.93 158.596 1.10861
9.94 159.099 1.10568
9.95 159.602 1.10278
9.96 160.107 1.09991
9.97 160.612 1.09707
9.98 161.119 1.09426
9.99 161.628 1.09148
10 162.137 1.08872
10.01 162.648 1.086
10.02 163.16 1.08331
10.03 163.673 1.08064
10.04 164.187 1.078
10.05 164.702 1.0754
10.06 165.219 1.07282
10.07 165.737 1.07027
10.08 166.256 1.06774
10.09 166.777 1.06525
10.1 167.298 1.06278
10.11 167.821 1.06034
10.12 168.345 1.05793
10.13 168.87 1.05555
10.14 169.396 1.05319
10.15 169.924 1.05086
10.16 170.453 1.04856
10.17 170.983 1.04629
10.18 171.514 1.04404
10.19 172.046 1.04182
10.2 172.58 1.03962
10.21 173.115 1.03746
10.22 173.651 1.03532
10.23 174.188 1.03321
10.24 174.726 1.03112
10.25 175.266 1.02906
10.26 175.807 1.02702
10.27 176.349 1.02502
10.28 176.892 1.02303
10.29 177.437 1.02108
10.3 177.982 1.01915
10.31 178.529 1.01725
10.32 179.077 1.01537
10.33 179.627 1.01352
10.34 180.177 1.01169
10.35 180.729 1.00989
10.36 181.282 1.00811
10.37 181.836 1.00636
10.38 182.391 1.00464
10.39 182.948 1.00294
10.4 183.505 1.00126
10.41 184.064 0.999613
10.42 184.624 0.997989
10.43 185.186 0.99639
10.44 185.748 0.994815
10.45 186.312 0.993266
10.46 186.877 0.991741
